"node","gu","dong","commercial","location","business","population","incidence","poverty","incidence_2020","incidence_2021","incidence_2022","incidence_2023"
1101053,"Jongno","Sajik","Y","N",1678,9599,90429,115,403,3583,71909,14534
1101054,"Jongno","Samcheong","Y","N",436,2763,90429,40,403,3583,71909,14534
1101055,"Jongno","Buam","Y","N",427,9884,90429,150,403,3583,71909,14534
1101056,"Jongno","Pyeongchang","Y","N",556,18256,90429,154,403,3583,71909,14534
1101057,"Jongno","Muwak","Y","N",184,8314,90429,216,403,3583,71909,14534
1101058,"Jongno","Gyonam","Y","N",245,10277,90429,241,403,3583,71909,14534
1101060,"Jongno","Gahoe","Y","N",444,4226,90429,76,403,3583,71909,14534
1101061,"Jongno","Jongno1_2_3_4Ga","Y","N",5277,8581,90429,847,403,3583,71909,14534
1101063,"Jongno","Jongno5_6Ga","Y","N",2462,5650,90429,322,403,3583,71909,14534
1101064,"Jongno","Ihwa","Y","N",564,7816,90429,307,403,3583,71909,14534
1101067,"Jongno","Changsin1","Y","N",861,5659,90429,467,403,3583,71909,14534
1101068,"Jongno","Changsin2","Y","N",382,9117,90429,557,403,3583,71909,14534
1101069,"Jongno","Changsin3","Y","N",153,6815,90429,254,403,3583,71909,14534
1101070,"Jongno","Sungin1","Y","N",279,6184,90429,324,403,3583,71909,14534
1101071,"Jongno","Sungin2","Y","N",723,10287,90429,506,403,3583,71909,14534
1101072,"Jongno","Cheongunhyoja","Y","N",717,12209,90429,230,403,3583,71909,14534
1101073,"Jongno","Hyehwa","Y","N",894,19362,90429,380,403,3583,71909,14534
1102052,"Jung","Sogong","Y","N",1429,3319,81400,45,280,3412,64545,13163
1102054,"Jung","Hoihyun","Y","N",4408,5470,81400,437,280,3412,64545,13163
1102055,"Jung","Myeong","Y","N",2522,3688,81400,77,280,3412,64545,13163
1102057,"Jung","Pil","Y","N",968,4750,81400,110,280,3412,64545,13163
1102058,"Jung","Jangchung","Y","N",300,5365,81400,153,280,3412,64545,13163
1102059,"Jung","Gwanghui","Y","N",3162,6479,81400,241,280,3412,64545,13163
1102060,"Jung","Euljiro","Y","N",2166,1931,81400,170,280,3412,64545,13163
1102065,"Jung","Sindang5","Y","N",649,10696,81400,545,280,3412,64545,13163
1102067,"Jung","Hwanghak","Y","N",854,13478,81400,552,280,3412,64545,13163
1102068,"Jung","Jungnim","Y","N",433,12497,81400,682,280,3412,64545,13163
1102069,"Jung","Sindang","Y","N",5883,9124,81400,488,280,3412,64545,13163
1102070,"Jung","Dasan","Y","N",765,14318,81400,532,280,3412,64545,13163
1102071,"Jung","Yaksu","Y","N",502,16951,81400,988,280,3412,64545,13163
1102072,"Jung","Cheonggu","Y","N",503,13850,81400,782,280,3412,64545,13163
1102073,"Jung","Donghwa","Y","N",481,10486,81400,231,280,3412,64545,13163
1103051,"Yongsan","Huam","N","N",533,17441,138503,895,419,4890,111880,21314
1103052,"Yongsan","Yongsan2Ga","N","N",285,10793,138503,611,419,4890,111880,21314
1103053,"Yongsan","Namyeong","N","N",716,7831,138503,1360,419,4890,111880,21314
1103057,"Yongsan","Wonhyo2","N","N",449,14000,138503,459,419,4890,111880,21314
1103058,"Yongsan","Hyochang","N","N",240,10457,138503,168,419,4890,111880,21314
1103059,"Yongsan","Yongmun","N","N",344,12035,138503,448,419,4890,111880,21314
1103063,"Yongsan","Ichon1","N","N",645,27100,138503,62,419,4890,111880,21314
1103064,"Yongsan","Ichon2","N","N",207,8425,138503,196,419,4890,111880,21314
1103065,"Yongsan","Itaewon1","N","N",746,8279,138503,239,419,4890,111880,21314
1103066,"Yongsan","Itaewon2","N","N",457,10609,138503,307,419,4890,111880,21314
1103069,"Yongsan","Seobinggo","N","N",256,13790,138503,359,419,4890,111880,21314
1103070,"Yongsan","Bogwang","N","N",419,14766,138503,1106,419,4890,111880,21314
1103071,"Yongsan","Cheongpa","N","N",820,20135,138503,1189,419,4890,111880,21314
1103072,"Yongsan","Wonhyo1","N","N",675,17027,138503,432,419,4890,111880,21314
1103073,"Yongsan","Hangangno","N","N",1833,22798,138503,436,419,4890,111880,21314
1103074,"Yongsan","Hannam","N","N",1304,22919,138503,566,419,4890,111880,21314
1104052,"Seongdong","Wangsimni2","N","N",1212,16974,191048,577,449,5298,156325,28976
1104054,"Seongdong","Majang","N","N",4037,23052,191048,854,449,5298,156325,28976
1104055,"Seongdong","Sageun","N","N",1273,13700,191048,250,449,5298,156325,28976
1104056,"Seongdong","Haengdang1","N","N",1565,14184,191048,391,449,5298,156325,28976
1104057,"Seongdong","Haengdang2","N","N",956,23558,191048,895,449,5298,156325,28976
1104058,"Seongdong","Eungbong","N","N",648,15461,191048,239,449,5298,156325,28976
1104059,"Seongdong","Geumho1Ga","N","N",942,15416,191048,720,449,5298,156325,28976
1104062,"Seongdong","Geumho4Ga","N","N",1016,14507,191048,460,449,5298,156325,28976
